MAIN_ACT,net,year
 manufacture of ceramic,4921,2021
 production of pulp or other fibrous materials ,-111402,2021
Aviation,0,2021
Capture of greenhouse gases ,0,2021
Combustion installations ,0,2021
Combustion of fuels,36699,2021
manufacture of glass,3410,2021
Manufacture of mineral wool,10749,2021
Metal ore roasting or sintering,2976,2021
Mineral oil refineries,484019,2021
Other activity,52185,2021
Prodcution of aluminium,266262,2021
Production of adipic acid,-174098,2021
Production of ammonia,123535,2021
Production of bulk chemicals,8619,2021
Production of carbon black,31705,2021
production of cement clinker ,53563,2021
Production of coke,203664,2021
Production of glyoxal and glyoxylic acid,0,2021
Production of gypsum or plasterboard,0,2021
Production of hydrogen and synthesis gas,0,2021
Production of metals,15280,2021
Production of nitric acid,-78181,2021
production of pig iron or steel ,8033,2021
Production of quicklime,16156,2021
Production of sodium carbonates,0,2021
Refining of mineral oil,1055167,2021
 manufacture of ceramic,1044,2020
 production of pulp or other fibrous materials ,-79231,2020
Aviation,0,2020
Capture of greenhouse gases ,0,2020
Combustion installations ,0,2020
Combustion of fuels,21354,2020
manufacture of glass,-2964,2020
Manufacture of mineral wool,19147,2020
Metal ore roasting or sintering,18714,2020
Mineral oil refineries,755542,2020
Other activity,12050,2020
Prodcution of aluminium,176783,2020
Production of adipic acid,-176366,2020
Production of ammonia,303973,2020
Production of bulk chemicals,5711,2020
Production of carbon black,48191,2020
production of cement clinker ,-17720,2020
Production of coke,113800,2020
Production of glyoxal and glyoxylic acid,4408,2020
Production of gypsum or plasterboard,5,2020
Production of hydrogen and synthesis gas,11348,2020
Production of metals,17266,2020
Production of nitric acid,-86125,2020
production of pig iron or steel ,9923,2020
Production of quicklime,6862,2020
Production of sodium carbonates,483744,2020
Refining of mineral oil,1216301,2020
 manufacture of ceramic,-2049,2019
 production of pulp or other fibrous materials ,-70811,2019
Aviation,0,2019
Capture of greenhouse gases ,0,2019
Combustion installations ,0,2019
Combustion of fuels,18012,2019
manufacture of glass,-1876,2019
Manufacture of mineral wool,16195,2019
Metal ore roasting or sintering,15532,2019
Mineral oil refineries,1009897,2019
Other activity,7825,2019
Prodcution of aluminium,156943,2019
Production of adipic acid,-182106,2019
Production of ammonia,340611,2019
Production of bulk chemicals,5767,2019
Production of carbon black,50227,2019
production of cement clinker ,-28725,2019
Production of coke,102339,2019
Production of glyoxal and glyoxylic acid,2532,2019
