COUNTRY,amount,year,UNIT_TYPE_DESCR
,1409515,2013,"tCER - Temporary CER"
LU,345753,2013,"tCER - Temporary CER"
PT,1742935,2013,"tCER - Temporary CER"
GB,1767601,2013,"tCER - Temporary CER"
FR,1412154,2013,"tCER - Temporary CER"
ES,9760322,2013,"tCER - Temporary CER"
DK,1397182,2013,"tCER - Temporary CER"
SK,1397182,2013,"tCER - Temporary CER"
IT,518612,2013,"tCER - Temporary CER"
FI,1397182,2013,"tCER - Temporary CER"
PL,1409515,2013,"tCER - Temporary CER"
DE,1582374,2013,"tCER - Temporary CER"
SE,1440007,2013,"tCER - Temporary CER"
NL,1742935,2013,"tCER - Temporary CER"
LI,345753,2013,"tCER - Temporary CER"
LV,345753,2013,"tCER - Temporary CER"
NO,1397182,2013,"tCER - Temporary CER"
CZ,2448611,2013,"tCER - Temporary CER"
BG,2448611,2013,"tCER - Temporary CER"
ES,2361040,2012,"tCER - Temporary CER"
ES,721942,2014,"tCER - Temporary CER"
ES,547112,2018,"tCER - Temporary CER"
BE,1051429,2013,"tCER - Temporary CER"
AT,1051429,2013,"tCER - Temporary CER"
IE,1051429,2013,"tCER - Temporary CER"
RO,1051429,2013,"tCER - Temporary CER"
HU,1051429,2013,"tCER - Temporary CER"
LT,2102858,2013,"tCER - Temporary CER"
EE,1051429,2013,"tCER - Temporary CER"
,215216,2014,"tCER - Temporary CER"
BE,186477,2014,"tCER - Temporary CER"
DE,238434,2014,"tCER - Temporary CER"
PT,252806,2014,"tCER - Temporary CER"
DK,232928,2014,"tCER - Temporary CER"
BG,357408,2014,"tCER - Temporary CER"
CZ,348547,2014,"tCER - Temporary CER"
PL,277203,2014,"tCER - Temporary CER"
NL,305952,2014,"tCER - Temporary CER"
GB,305952,2014,"tCER - Temporary CER"
SE,263039,2014,"tCER - Temporary CER"
AT,168765,2014,"tCER - Temporary CER"
FI,250640,2014,"tCER - Temporary CER"
IE,168765,2014,"tCER - Temporary CER"
RO,186477,2014,"tCER - Temporary CER"
HU,186477,2014,"tCER - Temporary CER"
LT,310957,2014,"tCER - Temporary CER"
SK,206355,2014,"tCER - Temporary CER"
FR,224067,2014,"tCER - Temporary CER"
EE,168765,2014,"tCER - Temporary CER"
NO,268352,2014,"tCER - Temporary CER"
,2752597,2015,"tCER - Temporary CER"
GB,4916284,2015,"tCER - Temporary CER"
NL,4254853,2015,"tCER - Temporary CER"
SE,2752597,2015,"tCER - Temporary CER"
GR,2724237,2015,"tCER - Temporary CER"
SI,2443962,2015,"tCER - Temporary CER"
FI,2752597,2015,"tCER - Temporary CER"
DK,2752597,2015,"tCER - Temporary CER"
HU,2752597,2015,"tCER - Temporary CER"
AT,2752597,2015,"tCER - Temporary CER"
LT,2780957,2015,"tCER - Temporary CER"
BG,2780957,2015,"tCER - Temporary CER"
EE,2752597,2015,"tCER - Temporary CER"
IE,2752597,2015,"tCER - Temporary CER"
DE,2752597,2015,"tCER - Temporary CER"
IT,1484515,2015,"tCER - Temporary CER"
LV,2724237,2015,"tCER - Temporary CER"
NO,2752597,2015,"tCER - Temporary CER"
AT,76546,2017,"tCER - Temporary CER"
BE,17712,2017,"tCER - Temporary CER"
LU,76546,2017,"tCER - Temporary CER"
BG,76546,2017,"tCER - Temporary CER"
