MAIN_ACT,amount,YEAR,
root,,
2021,,root
2020,,root
2019,,root
2018,,root
2017,,root
2016,,root
2015,,root
2014,,root
2013,,root
2012,,root
2011,,root
2010,,root
2009,,root
2008,,root
 manufacture of ceramic,12469503,2021,
 production of pulp or other fibrous materials ,21844902,2021,
Aviation,24989500,2021,
Capture of greenhouse gases ,46,2021,
Combustion installations ,25672534,2021,
Combustion of fuels,748441439,2021,
manufacture of glass,13784362,2021,
Manufacture of mineral wool,1526293,2021,
Metal ore roasting or sintering,949178,2021,
Mineral oil refineries,8282207,2021,
Other activity,1492884,2021,
Prodcution of aluminium,9061590,2021,
Production of adipic acid,117593,2021,
Production of ammonia,17347289,2021,
Production of bulk chemicals,30954371,2021,
Production of carbon black,1513070,2021,
production of cement clinker ,97523797,2021,
Production of coke,4347838,2021,
Production of glyoxal and glyoxylic acid,0,2021,
Production of gypsum or plasterboard,922368,2021,
Production of hydrogen and synthesis gas,6894953,2021,
Production of metals,15846448,2021,
Production of nitric acid,1362796,2021,
production of pig iron or steel ,93943807,2021,
Production of quicklime,25146944,2021,
Production of sodium carbonates,2572152,2021,
Refining of mineral oil,95444794,2021,
 manufacture of ceramic,13525101,2020,
 production of pulp or other fibrous materials ,24506867,2020,
Aviation,24945460,2020,
Capture of greenhouse gases ,5578,2020,
Combustion installations ,47866757,2020,
Combustion of fuels,790956104,2020,
manufacture of glass,17257325,2020,
Manufacture of mineral wool,1964751,2020,
Metal ore roasting or sintering,2100316,2020,
Mineral oil refineries,8250488,2020,
Other activity,1647932,2020,
Prodcution of aluminium,9474035,2020,
Production of adipic acid,110945,2020,
Production of ammonia,21014636,2020,
Production of bulk chemicals,33528015,2020,
Production of carbon black,1441395,2020,
production of cement clinker ,115210561,2020,
Production of coke,9581849,2020,
Production of glyoxal and glyoxylic acid,11818,2020,
Production of gypsum or plasterboard,1204128,2020,
Production of hydrogen and synthesis gas,8420251,2020,
Production of metals,17173763,2020,
Production of nitric acid,3446093,2020,
production of pig iron or steel ,92365585,2020,
Production of quicklime,25241557,2020,
Production of sodium carbonates,4096879,2020,
Refining of mineral oil,105165807,2020,
 manufacture of ceramic,14710668,2019,
 production of pulp or other fibrous materials ,25948498,2019,
Aviation,68175732,2019,
Capture of greenhouse gases ,10123,2019,
Combustion installations ,56481793,2019,
Combustion of fuels,917936552,2019,
manufacture of glass,18055709,2019,
Manufacture of mineral wool,2009386,2019,
Metal ore roasting or sintering,2571680,2019,
Mineral oil refineries,9089580,2019,
Other activity,1759183,2019,
Prodcution of aluminium,9845001,2019,
Production of adipic acid,113963,2019,
Production of ammonia,20701206,2019,
Production of bulk chemicals,33742980,2019,
Production of carbon black,1615221,2019,
production of cement clinker ,121756176,2019,
Production of coke,10047163,2019,
Production of glyoxal and glyoxylic acid,10099,2019,
Production of gypsum or plasterboard,1248381,2019,
Production of hydrogen and synthesis gas,8891782,2019,
Production of metals,20098730,2019,
Production of nitric acid,3484689,2019,
production of pig iron or steel ,103525591,2019,
Production of quicklime,27839431,2019,
Production of sodium carbonates,4750747,2019,
Refining of mineral oil,114112718,2019,
 manufacture of ceramic,14851467,2018,
 production of pulp or other fibrous materials ,26279481,2018,
Aviation,67494323,2018,
Capture of greenhouse gases ,11220,2018,
Combustion installations ,56639089,2018,
Combustion of fuels,1061809601,2018,
manufacture of glass,18119301,2018,
Manufacture of mineral wool,2117316,2018,
Metal ore roasting or sintering,2660547,2018,
Mineral oil refineries,8785754,2018,
Other activity,1875124,2018,
Prodcution of aluminium,10214228,2018,
Production of adipic acid,111673,2018,
Production of ammonia,20606360,2018,
Production of bulk chemicals,35804759,2018,
Production of carbon black,1688557,2018,
production of cement clinker ,122339565,2018,
Production of coke,11096868,2018,
Production of glyoxal and glyoxylic acid,10833,2018,
Production of gypsum or plasterboard,1201233,2018,
Production of hydrogen and synthesis gas,8055566,2018,
Production of metals,21204638,2018,
Production of nitric acid,3741561,2018,
production of pig iron or steel ,105041629,2018,
Production of quicklime,29446305,2018,
Production of sodium carbonates,3531975,2018,
Refining of mineral oil,115911969,2018,
 manufacture of ceramic,14526288,2017,
 production of pulp or other fibrous materials ,26468621,2017,
Aviation,64417120,2017,
Capture of greenhouse gases ,13550,2017,
Combustion installations ,57724155,2017,
Combustion of fuels,1128078120,2017,
manufacture of glass,18120270,2017,
Manufacture of mineral wool,2005747,2017,
Metal ore roasting or sintering,2649753,2017,
Mineral oil refineries,8642321,2017,
Other activity,1840542,2017,
Prodcution of aluminium,10111380,2017,
Production of adipic acid,131752,2017,
Production of ammonia,22187048,2017,
Production of bulk chemicals,35717367,2017,
Production of carbon black,1643712,2017,
production of cement clinker ,120558541,2017,
Production of coke,11004576,2017,
Production of glyoxal and glyoxylic acid,9940,2017,
Production of gypsum or plasterboard,1177479,2017,
Production of hydrogen and synthesis gas,8282259,2017,
Production of metals,21208501,2017,
Production of nitric acid,4218995,2017,
production of pig iron or steel ,107702800,2017,
Production of quicklime,29237498,2017,
Production of sodium carbonates,3591195,2017,
Refining of mineral oil,117901263,2017,
 manufacture of ceramic,13937938,2016,
 production of pulp or other fibrous materials ,25985037,2016,
Aviation,61474291,2016,
Capture of greenhouse gases ,15710,2016,
Combustion installations ,58387483,2016,
Combustion of fuels,1132592633,2016,
manufacture of glass,18188405,2016,
Manufacture of mineral wool,1856522,2016,
Metal ore roasting or sintering,2514509,2016,
Mineral oil refineries,8933276,2016,
Other activity,1839471,2016,
Prodcution of aluminium,10034965,2016,
Production of adipic acid,126289,2016,
Production of ammonia,21157771,2016,
Production of bulk chemicals,35326812,2016,
Production of carbon black,1759368,2016,
production of cement clinker ,117787376,2016,
Production of coke,11190301,2016,
Production of glyoxal and glyoxylic acid,11112,2016,
Production of gypsum or plasterboard,1120346,2016,
Production of hydrogen and synthesis gas,7942544,2016,
Production of metals,20180942,2016,
Production of nitric acid,4223469,2016,
production of pig iron or steel ,105287186,2016,
Production of quicklime,28081163,2016,
Production of sodium carbonates,3540237,2016,
Refining of mineral oil,118582678,2016,
 manufacture of ceramic,13431358,2015,
 production of pulp or other fibrous materials ,26178945,2015,
Aviation,57108434,2015,
Capture of greenhouse gases ,14491,2015,
Combustion installations ,49159830,2015,
Combustion of fuels,1187572159,2015,
manufacture of glass,17924115,2015,
Manufacture of mineral wool,1783593,2015,
Metal ore roasting or sintering,2699843,2015,
Mineral oil refineries,8734951,2015,
Other activity,1790169,2015,
Prodcution of aluminium,9815332,2015,
Production of adipic acid,135601,2015,
Production of ammonia,21621781,2015,
Production of bulk chemicals,35685856,2015,
Production of carbon black,1673898,2015,
production of cement clinker ,117455956,2015,
Production of coke,11611619,2015,
Production of glyoxal and glyoxylic acid,9070,2015,
Production of gypsum or plasterboard,1054702,2015,
Production of hydrogen and synthesis gas,8029302,2015,
Production of metals,19380754,2015,
Production of nitric acid,4311521,2015,
production of pig iron or steel ,111813804,2015,
Production of quicklime,28423900,2015,
Production of sodium carbonates,3514226,2015,
Refining of mineral oil,119152017,2015,
 manufacture of ceramic,13194841,2014,
 production of pulp or other fibrous materials ,25974978,2014,
Aviation,54832616,2014,
Capture of greenhouse gases ,15168,2014,
Combustion installations ,51310928,2014,
Combustion of fuels,1196718096,2014,
manufacture of glass,17839472,2014,
Manufacture of mineral wool,1776597,2014,
Metal ore roasting or sintering,2713678,2014,
Mineral oil refineries,8908801,2014,
Other activity,2707850,2014,
Prodcution of aluminium,9689959,2014,
Production of adipic acid,143924,2014,
Production of ammonia,21082735,2014,
Production of bulk chemicals,35221149,2014,
Production of carbon black,1625279,2014,
production of cement clinker ,118986215,2014,
Production of coke,11291858,2014,
